Compared With,Repeat,Pseudo-F,p-value
D000067011,1,10.930325145910336,0.001
D000067011,2,7.933781521091247,0.001
D000067011,3,11.392162748769032,0.001
D000067011,4,10.683735726164599,0.001
D000067011,5,15.955531911601511,0.001
D000067011,6,15.12528768347986,0.001
D000067011,7,10.587160897909811,0.001
D000067011,8,11.25278574628472,0.001
D000067011,9,13.489139136117966,0.001
D000067011,10,15.068098659442768,0.001
D000067877,1,1.051590922616438,0.368
D000067877,2,2.535188366614227,0.007
D000067877,3,1.1671375861368596,0.253
D000067877,4,2.7514955610942207,0.004
D000067877,5,1.729037603535767,0.05
D000067877,6,1.1954229561616607,0.245
D000067877,7,1.2829024949388745,0.18
D000067877,8,1.022424714173391,0.406
D000067877,9,2.562439925689283,0.006
D000067877,10,1.9038678784404492,0.042
D000236,1,5.714458396679803,0.001
D000236,2,4.533154414056996,0.001
D000236,3,4.405756333283885,0.001
D000236,4,5.857182155789018,0.001
D000236,5,5.709292219352171,0.001
D000236,6,2.7517577170722936,0.001
D000236,7,2.841054444703809,0.001
D000236,8,4.890721053561312,0.001
D000236,9,3.819465714421835,0.001
D000236,10,5.55655750520768,0.001
D000855,1,11.857475921982621,0.001
D000855,2,10.784648473294544,0.001
D000855,3,12.978187238315275,0.001
D000855,4,11.653023969392374,0.001
D000855,5,11.978196911462717,0.001
D000855,6,8.67188576608036,0.001
D000855,7,12.415799777110413,0.001
D000855,8,11.285049219732025,0.001
D000855,9,10.226813245684454,0.001
D000855,10,10.231869156547065,0.001
D001172,1,4.881603630875412,0.001
D001172,2,4.376589035813051,0.002
D001172,3,5.104128989764651,0.001
D001172,4,3.563416109258539,0.001
D001172,5,5.589487615867756,0.001
D001172,6,3.295403711219642,0.001
D001172,7,4.446582599252571,0.001
D001172,8,2.635138199564084,0.01
D001172,9,3.4883257629297364,0.002
D001172,10,5.285300577857368,0.001
D001249,1,4.4452297673815675,0.001
D001249,2,4.195298110789317,0.002
D001249,3,5.8680401679977825,0.001
D001249,4,6.850713708476382,0.001
D001249,5,4.899270884570642,0.001
D001249,6,5.115994959042053,0.001
D001249,7,3.292992986304129,0.004
D001249,8,3.6399054784682905,0.001
D001249,9,6.113866165008508,0.001
D001249,10,5.907218310747085,0.001
D001289,1,1.3135446776507762,0.194
D001289,2,2.004278895154734,0.014
D001289,3,2.9552767963518547,0.003
D001289,4,1.8983880309852674,0.041
D001289,5,1.5186205878643588,0.086
D001289,6,2.6471566054847644,0.007
D001289,7,2.312686439568619,0.009
D001289,8,2.1037901913785664,0.017
D001289,9,3.4027864057044126,0.005
D001289,10,2.991708069786249,0.007
D001321,1,1.3665921818065312,0.17
D001321,2,3.715287566075414,0.002
D001321,3,1.867007200825656,0.055
D001321,4,1.911339676521621,0.029
D001321,5,2.814705617714274,0.006
D001321,6,0.8844693954312942,0.545
D001321,7,2.176373114523018,0.024
D001321,8,0.9691700754199366,0.433
D001321,9,2.429368734512478,0.016
D001321,10,1.7067365860956545,0.074
D001327,1,1.9980751127340715,0.023
D001327,2,4.242651744415826,0.001
D001327,3,2.8252656395356226,0.001
D001327,4,2.8829972893199134,0.003
D001327,5,1.588545546740061,0.077
D001327,6,2.1748941793265635,0.01
D001327,7,2.943980406899291,0.001
D001327,8,2.9803812249163713,0.004
D001327,9,1.9050731537837615,0.027
D001327,10,3.6443674227212646,0.001
D001714,1,2.5455352835571556,0.012
D001714,2,2.764204406598883,0.002
D001714,3,2.111165106455825,0.027
D001714,4,2.590555494236152,0.006
D001714,5,3.137492321517224,0.002
D001714,6,1.817206469348618,0.028
D001714,7,2.336988097356377,0.01
D001714,8,3.578540249993158,0.002
D001714,9,1.0903682110977717,0.337
D001714,10,2.910818073127237,0.002
D001943,1,3.709945746728213,0.002
D001943,2,4.640531992649959,0.001
D001943,3,4.896813893173334,0.001
D001943,4,10.543042677591087,0.001
D001943,5,7.397590379647148,0.001
D001943,6,3.255693981585552,0.001
D001943,7,10.079713413781679,0.001
D001943,8,6.938916857050265,0.001
D001943,9,3.1142572073574124,0.004
D001943,10,7.11317509157479,0.001
D002318,1,2.5416429695016007,0.001
D002318,2,2.4653481878247367,0.002
D002318,3,2.88371372717842,0.003
D002318,4,3.13491373306235,0.001
D002318,5,3.7798951658403124,0.002
D002318,6,2.0191947475470076,0.023
D002318,7,1.9430690764805723,0.036
