Compared With,Repeat,Pseudo-F,p-value
D000067011,1,9.71632000689164,0.001
D000067011,2,6.68646125392626,0.001
D000067011,3,9.107546911345684,0.001
D000067011,4,7.681545967602771,0.001
D000067011,5,6.982040581314886,0.001
D000067011,6,5.41392194247359,0.001
D000067011,7,7.430746835380964,0.001
D000067011,8,7.427228113194009,0.001
D000067011,9,8.186964744371933,0.001
D000067011,10,6.046687341024111,0.001
D000067877,1,1.5858691712594613,0.04
D000067877,2,1.8977768602664793,0.008
D000067877,3,1.0125048727408155,0.408
D000067877,4,0.9980751217888737,0.449
D000067877,5,1.6693058858540213,0.015
D000067877,6,1.7597713008710918,0.01
D000067877,7,1.7557279082927948,0.01
D000067877,8,2.212390334130727,0.003
D000067877,9,1.625255010752013,0.029
D000067877,10,2.232461137853918,0.001
D000236,1,4.148063812919531,0.001
D000236,2,3.761841255579456,0.001
D000236,3,1.9012958618124849,0.01
D000236,4,2.734820404269068,0.001
D000236,5,3.720899370452141,0.001
D000236,6,2.9036297808081293,0.001
D000236,7,3.943997146895016,0.001
D000236,8,2.9928664397893687,0.002
D000236,9,3.350815556047487,0.001
D000236,10,2.948334484450064,0.001
D000855,1,9.532992198911188,0.001
D000855,2,8.850199030048204,0.001
D000855,3,9.132516832193575,0.001
D000855,4,7.881315674832417,0.001
D000855,5,7.89921406660816,0.001
D000855,6,9.622126384327686,0.001
D000855,7,10.181975649825448,0.001
D000855,8,9.920849824847572,0.001
D000855,9,7.970482450497345,0.001
D000855,10,8.256480436845253,0.001
D001172,1,3.478304553657159,0.001
D001172,2,4.65342847868816,0.001
D001172,3,4.995896602232179,0.001
D001172,4,4.046301821273312,0.001
D001172,5,4.723603641461207,0.001
D001172,6,4.748528344714162,0.001
D001172,7,3.5998952291504867,0.001
D001172,8,3.1183896294181777,0.001
D001172,9,4.874744845101206,0.001
D001172,10,4.9553110772622055,0.001
D001249,1,3.468091159485703,0.001
D001249,2,4.840494152121175,0.001
D001249,3,4.174073223007064,0.001
D001249,4,3.518299592125865,0.001
